Customer_ID,Recency,Frequency,Monetary,Cluster
CUST0001,53,12,1627381.88,2
CUST0002,22,11,2299368.31,2
CUST0003,350,8,1385144.15,1
CUST0004,64,9,1284504.9400000002,0
CUST0005,179,4,89058.63,1
CUST0006,19,14,2069937.3699999999,2
CUST0007,105,8,1998838.15,0
CUST0008,71,16,2446011.01,2
CUST0009,3,11,868175.35,0
CUST0010,54,5,865155.62,0
CUST0011,11,14,2399704.69,2
CUST0012,7,12,976425.6499999999,0
CUST0013,82,14,2533965.25,2
CUST0014,60,17,1641920.6500000001,2
CUST0015,9,9,1839503.1600000001,0
CUST0016,41,14,1695336.6,2
CUST0017,68,12,1881583.52,2
CUST0018,38,13,1491505.31,2
CUST0019,182,11,1983124.36,2
CUST0020,145,6,525394.51,0
CUST0021,470,6,316378.33999999997,1
CUST0022,203,11,1252430.03,0
CUST0023,71,13,2863929.41,2
CUST0024,15,15,2427298.1599999997,2
CUST0025,37,8,255423.19999999998,0
CUST0026,88,10,1177618.75,0
CUST0027,43,7,939864.51,0
CUST0028,21,14,1138140.15,2
CUST0029,57,7,712683.88,0
CUST0030,136,8,1524874.33,0
CUST0031,80,13,1451135.0899999999,2
CUST0032,43,5,496023.02,0
CUST0033,499,3,183740.13999999998,1
CUST0034,87,12,2847510.06,2
CUST0035,53,20,3984851.88,2
CUST0036,75,9,1354457.3,0
CUST0037,18,8,1844480.62,0
CUST0038,261,8,812530.28,1
CUST0039,383,9,1599423.29,1
CUST0040,18,8,2429501.0,2
CUST0041,86,11,1259892.73,0
CUST0042,1,6,440368.07,0
CUST0043,16,10,1702902.11,0
CUST0044,421,7,1314595.72,1
CUST0045,49,9,2077541.65,2
CUST0046,33,15,3182101.77,2
CUST0047,168,11,1500230.38,0
CUST0048,1,15,2725987.77,2
CUST0049,195,7,769057.94,1
CUST0050,138,9,2568041.21,2
CUST0051,111,11,848757.02,0
CUST0052,123,18,1961219.57,2
CUST0053,29,12,1012313.02,0
CUST0054,16,9,1299858.78,0
CUST0055,59,14,1747561.49,2
CUST0056,138,11,664213.01,0
CUST0057,156,9,1344017.61,0
CUST0058,96,8,584699.73,0
CUST0059,141,11,774327.18,0
CUST0060,374,5,483505.69,1
CUST0061,54,12,2752566.33,2
CUST0062,31,11,1630631.47,2
CUST0063,190,10,904411.12,0
CUST0064,112,14,1179781.76,2
CUST0065,132,7,952363.7,0
CUST0066,28,12,1458717.78,2
CUST0067,30,15,2650004.31,2
CUST0068,22,10,1290375.19,0
CUST0069,27,7,612081.85,0
CUST0070,101,10,1395392.4,0
CUST0071,64,10,834163.94,0
CUST0072,123,10,657342.87,0
CUST0073,90,8,983668.78,0
CUST0074,211,11,2298557.85,2
CUST0075,144,9,2807868.76,2
CUST0076,57,15,1508801.53,2
CUST0077,107,14,1310310.84,2
CUST0078,174,9,759246.22,0
CUST0079,61,17,2185165.85,2
CUST0080,540,1,53807.95,1
CUST0081,70,13,2947823.91,2
CUST0082,295,4,485954.36,1
CUST0083,125,13,1276446.05,2
CUST0084,47,9,877547.8300000001,0
CUST0085,103,13,2311884.23,2
CUST0086,95,6,323662.44,0
CUST0087,54,10,1468528.56,0
CUST0088,70,11,1195039.33,0
CUST0089,70,10,1400891.67,0
CUST0090,19,12,1486491.31,2
CUST0091,34,9,1761249.1,0
CUST0092,47,5,1781937.5,0
CUST0093,96,8,660872.7,0
CUST0094,174,10,1468213.71,0
CUST0095,75,13,1962097.18,2
CUST0096,139,9,1203209.31,0
CUST0097,43,22,3147408.59,2
CUST0098,93,11,1201175.84,0
CUST0099,114,2,84032.73999999999,0
CUST0100,285,10,1246569.3,1
CUST0101,15,10,1378004.24,0
CUST0102,7,14,1003014.88,2
CUST0103,104,16,2334153.8,2
CUST0104,208,11,1809106.7,2
CUST0105,238,14,2160352.65,2
CUST0106,441,8,783774.45,1
CUST0107,211,4,503059.74,1
CUST0108,141,16,3384116.23,2
CUST0109,3,10,446668.98000000004,0
CUST0110,34,12,904044.47,0
CUST0111,163,8,733337.78,0
CUST0112,112,11,1245013.35,0
CUST0113,176,7,1361692.58,0
CUST0114,47,7,1174169.08,0
CUST0115,12,13,3058188.54,2
CUST0116,3,11,1695729.94,2
CUST0117,253,10,2096157.5899999999,2
CUST0118,1,11,1136830.65,0
CUST0119,22,6,927221.54,0
CUST0120,35,8,1706952.26,0
CUST0121,91,9,1218984.6400000001,0
CUST0122,9,8,835912.79,0
CUST0123,61,7,944782.72,0
CUST0124,99,12,1828279.51,2
CUST0125,175,8,379379.95,0
CUST0126,212,12,2483758.83,2
CUST0127,58,12,808370.27,0
CUST0128,21,9,914641.05,0
CUST0129,114,9,1341257.13,0
CUST0130,303,8,287810.3,1
CUST0131,23,11,1349677.24,0
CUST0132,50,4,528686.49,0
CUST0133,120,14,1107196.4,2
CUST0134,49,12,1113381.04,0
CUST0135,130,8,611724.38,0
CUST0136,71,10,2281787.78,2
CUST0137,39,13,990887.35,0
CUST0138,410,9,970537.7100000001,1
CUST0139,97,8,993160.74,0
CUST0140,59,4,465253.16000000003,0
CUST0141,43,9,1202559.68,0
CUST0142,50,6,1057409.38,0
CUST0143,94,7,874521.0800000001,0
CUST0144,15,7,368798.89,0
CUST0145,97,9,1754316.54,0
CUST0146,104,15,1477445.58,2
CUST0147,54,9,841863.74,0
CUST0148,360,7,1237257.04,1
CUST0149,133,8,2447770.25,2
CUST0150,157,8,1619312.8699999999,0
CUST0151,40,7,902312.69,0
CUST0152,81,12,1798083.17,2
CUST0153,14,13,1620705.03,2
CUST0154,68,11,2004248.93,2
CUST0155,4,10,3043496.85,2
CUST0156,90,9,1348992.13,0
CUST0157,19,9,909409.9,0
CUST0158,126,15,1946964.55,2
CUST0159,229,9,1432862.67,1
CUST0160,40,12,2439211.7600000002,2
CUST0161,26,13,2398984.62,2
CUST0162,27,12,1843101.25,2
CUST0163,121,5,369967.26,0
CUST0164,40,13,2556425.54,2
CUST0165,158,8,686489.29,0
CUST0166,228,12,1895546.49,2
CUST0167,137,6,529397.56,0
CUST0168,39,10,1429996.4000000001,0
CUST0169,26,12,1102961.77,0
CUST0170,125,9,1692156.78,0
CUST0171,60,13,2773259.93,2
CUST0172,23,10,2355471.16,2
CUST0173,224,11,988007.7899999999,1
CUST0174,8,13,904974.76,0
CUST0175,6,14,1710273.01,2
CUST0176,274,4,530131.81,1
CUST0177,42,10,941990.08,0
CUST0178,74,7,727595.4299999999,0
CUST0179,12,8,1466850.85,0
CUST0180,21,4,767152.0700000001,0
CUST0181,40,8,1446145.0,0
CUST0182,96,10,1182268.19,0
CUST0183,161,7,644303.75,0
CUST0184,15,17,2248968.07,2
CUST0185,16,9,1203431.4700000002,0
CUST0186,48,16,2670092.3,2
CUST0187,67,13,1356602.49,2
CUST0188,65,10,1023487.61,0
CUST0189,189,15,1696974.81,2
CUST0190,11,10,1047334.11,0
CUST0191,134,14,2027008.31,2
CUST0192,264,8,741345.9400000001,1
CUST0193,25,11,1223024.3900000001,0
CUST0194,14,9,768915.63,0
CUST0195,25,11,1062149.91,0
CUST0196,110,12,2078926.15,2
CUST0197,39,12,1333915.28,2
CUST0198,320,6,759134.23,1
CUST0199,142,12,1635134.99,2
CUST0200,109,15,1303117.94,2
CUST0201,98,7,572807.5800000001,0
CUST0202,47,13,2236493.1,2
CUST0203,56,7,1030932.24,0
CUST0204,20,6,651322.06,0
CUST0205,136,11,1019188.13,0
CUST0206,13,6,1100836.44,0
CUST0207,226,12,2166459.4699999997,2
CUST0208,114,8,1529337.8900000001,0
CUST0209,34,10,3535491.0900000003,2
CUST0210,149,11,1616657.06,2
CUST0211,510,3,248142.07,1
CUST0212,26,16,2641692.74,2
CUST0213,332,3,489450.69,1
CUST0214,50,12,1606026.14,2
CUST0215,1,16,1756777.87,2
CUST0216,59,6,173802.99,0
CUST0217,166,11,841311.79,0
CUST0218,31,8,783038.27,0
CUST0219,36,11,1511695.29,2
CUST0220,157,9,1287064.45,0
CUST0221,87,11,2306897.98,2
CUST0222,179,6,276771.07,1
CUST0223,53,10,687763.83,0
CUST0224,12,10,2021622.98,2
CUST0225,46,12,1432469.29,2
CUST0226,80,4,823823.04,0
CUST0227,115,10,1379759.0,0
CUST0228,148,12,1419869.56,2
CUST0229,42,13,980950.26,0
CUST0230,21,13,1222381.8,2
CUST0231,12,16,1851754.23,2
CUST0232,90,11,1660162.08,2
CUST0233,20,8,1401659.2999999998,0
CUST0234,99,10,575519.09,0
CUST0235,103,12,2061271.0499999998,2
CUST0236,36,10,1389519.38,0
CUST0237,203,14,1625694.53,2
CUST0238,179,8,1357127.7,0
CUST0239,303,9,1068873.65,1
CUST0240,30,10,709317.57,0
CUST0241,58,10,1470255.75,0
CUST0242,3,11,1976381.5,2
CUST0243,21,15,3003181.15,2
CUST0244,5,12,2870520.23,2
CUST0245,156,11,1030698.3200000001,0
CUST0246,63,10,1574371.38,0
CUST0247,265,9,367060.17,1
CUST0248,226,9,927044.33,1
CUST0249,160,6,657043.0,0
CUST0250,216,11,1243682.02,0
CUST0251,120,10,959001.38,0
CUST0252,173,6,233261.19999999998,1
CUST0253,97,13,711596.24,0
CUST0254,29,15,2347190.2199999997,2
CUST0255,194,10,802560.44,0
CUST0256,9,11,538228.33,0
CUST0257,9,13,1782100.1,2
CUST0258,72,16,1831254.79,2
CUST0259,60,14,2335827.69,2
CUST0260,25,14,1741678.08,2
CUST0261,65,8,749509.1,0
CUST0262,148,5,531410.6000000001,0
CUST0263,148,10,1085187.47,0
CUST0264,17,13,2323189.7199999997,2
CUST0265,336,8,1644461.09,1
CUST0266,21,15,1877584.39,2
CUST0267,37,11,2518923.37,2
CUST0268,378,12,2055012.48,1
CUST0269,98,8,1185106.79,0
CUST0270,2,9,1400955.08,0
CUST0271,112,10,2735659.72,2
CUST0272,258,9,501448.36000000004,1
CUST0273,4,5,264291.81,0
CUST0274,434,10,446673.83,1
CUST0275,43,10,1565662.59,0
CUST0276,251,7,392436.98000000004,1
CUST0277,42,7,402160.42,0
CUST0278,47,8,1181094.37,0
CUST0279,3,6,649005.05,0
CUST0280,22,7,1232373.8199999998,0
CUST0281,133,11,2722386.8,2
CUST0282,317,6,1449852.08,1
CUST0283,15,6,788963.8099999999,0
CUST0284,52,5,453216.17000000004,0
CUST0285,65,11,1537545.71,2
CUST0286,57,9,1791906.4,0
CUST0287,73,4,124171.55,0
CUST0288,107,12,1544084.76,2
CUST0289,19,6,427048.33999999997,0
CUST0290,22,9,1041244.49,0
CUST0291,48,10,679672.51,0
CUST0292,175,10,691738.42,0
CUST0293,154,9,1412914.51,0
CUST0294,202,6,1491335.32,1
CUST0295,52,9,870539.4700000001,0
CUST0296,17,9,1446515.13,0
CUST0297,244,8,1516138.9,1
CUST0298,165,9,1551656.1600000001,0
CUST0299,65,11,546316.41,0
CUST0300,14,14,2330854.77,2
CUST0301,33,12,1650239.88,2
CUST0302,159,9,976512.7000000001,0
CUST0303,112,7,396791.9,0
CUST0304,104,14,2061343.15,2
CUST0305,89,8,1370699.43,0
CUST0306,388,6,509248.22,1
CUST0307,72,8,1038782.55,0
CUST0308,23,16,2940579.06,2
CUST0309,121,5,1157111.78,0
CUST0310,43,13,3059435.2199999997,2
CUST0311,161,12,559016.42,0
CUST0312,24,5,121146.21,0
CUST0313,335,5,414757.7,1
CUST0314,26,10,1421604.71,0
CUST0315,9,9,295924.68,0
CUST0316,56,9,1352641.69,0
CUST0317,22,8,1698769.81,0
CUST0318,92,8,864260.11,0
CUST0319,151,12,680285.69,0
CUST0320,114,12,1056514.78,0
CUST0321,267,10,609381.82,1
CUST0322,13,11,1443760.5999999999,0
CUST0323,51,15,2235316.7800000003,2
CUST0324,146,6,1362938.33,0
CUST0325,150,8,625673.2,0
CUST0326,230,8,608624.49,1
CUST0327,33,10,819799.15,0
CUST0328,46,14,2467850.43,2
CUST0329,40,18,2504512.62,2
CUST0330,13,11,1872404.9,2
CUST0331,150,10,1623087.2,0
CUST0332,89,11,727153.94,0
CUST0333,5,12,615812.34,0
CUST0334,72,8,1068753.89,0
CUST0335,16,10,1242311.91,0
CUST0336,89,11,1012995.69,0
CUST0337,44,14,1511663.71,2
CUST0338,1,13,1206089.48,2
CUST0339,9,7,1852375.45,0
CUST0340,30,9,1174529.25,0
CUST0341,226,9,801909.62,1
CUST0342,26,15,2203178.33,2
CUST0343,59,10,1534863.25,0
CUST0344,32,4,125800.15,0
CUST0345,223,13,2563629.14,2
CUST0346,45,7,424450.13,0
CUST0347,84,9,1895468.44,0
CUST0348,65,8,1094023.02,0
CUST0349,104,12,1815614.51,2
CUST0350,4,7,1215286.46,0
CUST0351,93,11,553515.84,0
CUST0352,83,10,1220596.5,0
CUST0353,107,12,1683789.51,2
CUST0354,175,8,1607774.78,0
CUST0355,28,10,707151.9400000001,0
CUST0356,85,16,1784569.0,2
CUST0357,18,9,1113500.67,0
CUST0358,190,7,815694.8300000001,1
CUST0359,135,11,904841.16,0
CUST0360,58,7,940951.96,0
CUST0361,279,10,1627472.1,1
CUST0362,111,11,933017.58,0
CUST0363,43,8,881605.85,0
CUST0364,304,8,1762679.13,1
CUST0365,95,12,2962508.65,2
CUST0366,275,13,1020526.37,1
CUST0367,5,7,539111.3300000001,0
CUST0368,90,12,1704864.26,2
CUST0369,254,8,1540018.0799999998,1
CUST0370,42,13,2001847.57,2
CUST0371,284,6,1244353.55,1
CUST0372,342,7,882196.51,1
CUST0373,9,9,1063038.3900000001,0
CUST0374,49,13,822273.23,0
CUST0375,24,13,1579825.06,2
CUST0376,44,7,774652.95,0
CUST0377,42,9,691716.9299999999,0
CUST0378,24,14,1797032.77,2
CUST0379,46,13,2226873.28,2
CUST0380,62,8,1575329.23,0
CUST0381,174,5,309058.19,1
CUST0382,594,4,264280.21,1
CUST0383,186,10,1927003.55,2
CUST0384,112,8,1674808.67,0
CUST0385,317,8,842630.0800000001,1
CUST0386,305,9,949342.6,1
CUST0387,36,6,1246002.18,0
CUST0388,26,17,1657970.09,2
CUST0389,42,12,1466944.57,2
CUST0390,308,6,622397.73,1
CUST0391,13,11,917959.97,0
CUST0392,80,13,1032889.38,0
CUST0393,52,13,1811945.8199999998,2
CUST0394,126,14,1534955.35,2
CUST0395,308,5,317062.33,1
CUST0396,4,13,1894824.73,2
CUST0397,4,9,1016348.23,0
CUST0398,1,8,1227965.06,0
CUST0399,48,10,1499135.5,0
CUST0400,40,7,920438.29,0
CUST0401,372,7,1093100.81,1
CUST0402,48,12,1993588.25,2
CUST0403,202,8,1504283.87,0
CUST0404,65,10,1442137.1400000001,0
CUST0405,163,11,1743861.45,2
CUST0406,23,9,1332633.18,0
CUST0407,174,8,1171636.8900000001,0
CUST0408,87,6,1039334.8500000001,0
CUST0409,130,11,2053368.78,2
CUST0410,101,14,2177005.5500000003,2
CUST0411,51,9,1159259.06,0
CUST0412,25,14,1665198.23,2
CUST0413,9,12,1581285.45,2
CUST0414,35,11,1422901.45,0
CUST0415,18,12,1547571.26,2
CUST0416,152,10,1300560.1600000001,0
CUST0417,45,13,1320657.74,2
CUST0418,16,10,1320854.56,0
CUST0419,97,7,675199.64,0
CUST0420,257,8,1118380.8499999999,1
CUST0421,61,10,1960218.1300000001,2
CUST0422,77,11,894823.89,0
CUST0423,98,7,1299570.94,0
CUST0424,255,5,1170803.0499999998,1
CUST0425,201,11,1238343.31,0
CUST0426,14,13,2785722.11,2
CUST0427,205,9,996642.31,1
CUST0428,82,17,2985423.47,2
CUST0429,31,14,1425327.0,2
CUST0430,43,8,1089574.0999999999,0
CUST0431,48,12,1979224.1,2
CUST0432,205,8,491519.64999999997,1
CUST0433,108,8,551970.02,0
CUST0434,24,9,691700.78,0
CUST0435,146,9,1351993.22,0
CUST0436,174,7,1341255.69,0
CUST0437,287,6,609011.13,1
CUST0438,278,13,2086660.9200000002,2
CUST0439,35,6,734312.58,0
CUST0440,7,10,864132.62,0
CUST0441,87,15,2488658.3200000003,2
CUST0442,400,12,1685180.53,1
CUST0443,122,12,1806558.31,2
CUST0444,68,12,2053505.8299999998,2
CUST0445,492,5,252157.92,1
CUST0446,50,11,1498711.17,0
CUST0447,25,13,2065241.21,2
CUST0448,161,10,2052136.47,2
CUST0449,81,6,705874.71,0
CUST0450,22,10,843701.1,0
CUST0451,45,12,1340482.84,2
CUST0452,74,11,1216303.45,0
CUST0453,283,7,1378869.78,1
CUST0454,53,10,1254418.5999999999,0
CUST0455,50,13,1717901.45,2
CUST0456,125,11,1093847.27,0
CUST0457,35,9,1336453.98,0
CUST0458,26,10,1086844.8699999999,0
CUST0459,61,12,1939120.42,2
CUST0460,9,10,746135.47,0
CUST0461,7,15,1678578.55,2
CUST0462,95,11,595592.96,0
CUST0463,10,9,1373569.8599999999,0
CUST0464,127,10,1340008.59,0
CUST0465,149,4,1652326.39,0
CUST0466,64,6,322559.57,0
CUST0467,140,8,1227055.11,0
CUST0468,71,12,817091.62,0
CUST0469,105,11,1078601.68,0
CUST0470,129,12,1647431.82,2
CUST0471,615,7,723958.39,1
CUST0472,121,16,1704406.3900000001,2
CUST0473,358,7,835191.49,1
CUST0474,73,6,1255713.4400000002,0
CUST0475,8,12,1613187.91,2
CUST0476,20,11,881388.38,0
CUST0477,101,5,418420.28,0
CUST0478,170,8,751338.64,0
CUST0479,5,12,2036302.0899999999,2
CUST0480,143,6,167144.34,0
CUST0481,6,7,606249.16,0
CUST0482,15,7,847013.28,0
CUST0483,44,11,2212111.14,2
CUST0484,69,10,2088397.96,2
CUST0485,47,13,1631710.94,2
CUST0486,232,12,2093332.32,2
CUST0487,14,9,1113366.97,0
CUST0488,9,16,2468138.96,2
CUST0489,12,11,384442.75,0
CUST0490,122,9,1336506.28,0
CUST0491,16,13,1117213.97,2
CUST0492,44,13,1999245.75,2
CUST0493,266,13,1647371.02,2
CUST0494,38,3,1057079.3,0
CUST0495,190,7,1925845.56,0
CUST0496,8,15,2059066.72,2
CUST0497,26,11,926008.58,0
CUST0498,9,10,404474.36,0
CUST0499,88,8,1486373.46,0
CUST0500,8,8,1429815.24,0
