Month,Sales
2024-01,26618239.240000002
2024-02,18930920.01
2024-03,26638197.22
2024-04,21650152.61
2024-05,21079123.95
2024-06,20550315.68
2024-07,18832927.07
2024-08,19722452.37
2024-09,16704020.42
2024-10,19632930.37
2024-11,21960754.72
2024-12,20719127.13
2025-01,19032626.91
2025-02,18282299.6
2025-03,22317833.33
2025-04,20724625.24
2025-05,17251028.24
2025-06,20284069.009999998
2025-07,22724665.68
2025-08,27253580.46
2025-09,18333209.46
2025-10,22879752.59
2025-11,21945208.17
2025-12,27640816.89
2026-01,24844224.45
2026-02,20144529.02
2026-03,19167082.98
2026-04,22064876.42
2026-05,15302956.73
2026-06,17237164.03
2026-07,21697000.91
2026-08,22196644.72
