Order_Date,Sales,Month_Number,Predicted_Sales
2024-01-01,26618239.240000002,1,21388670.213863637
2024-02-01,18930920.01,2,21368359.54609421
2024-03-01,26638197.22,3,21348048.87832478
2024-04-01,21650152.61,4,21327738.210555352
2024-05-01,21079123.95,5,21307427.542785924
2024-06-01,20550315.68,6,21287116.875016496
2024-07-01,18832927.07,7,21266806.207247067
2024-08-01,19722452.37,8,21246495.53947764
2024-09-01,16704020.42,9,21226184.87170821
2024-10-01,19632930.37,10,21205874.203938782
2024-11-01,21960754.72,11,21185563.536169358
2024-12-01,20719127.13,12,21165252.86839993
2025-01-01,19032626.91,13,21144942.2006305
2025-02-01,18282299.6,14,21124631.532861073
2025-03-01,22317833.33,15,21104320.865091644
2025-04-01,20724625.24,16,21084010.197322216
2025-05-01,17251028.24,17,21063699.529552788
2025-06-01,20284069.009999998,18,21043388.86178336
2025-07-01,22724665.68,19,21023078.19401393
2025-08-01,27253580.46,20,21002767.526244503
2025-09-01,18333209.46,21,20982456.858475074
2025-10-01,22879752.59,22,20962146.190705646
2025-11-01,21945208.17,23,20941835.522936217
2025-12-01,27640816.89,24,20921524.85516679
2026-01-01,24844224.45,25,20901214.18739736
2026-02-01,20144529.02,26,20880903.519627932
2026-03-01,19167082.98,27,20860592.851858504
2026-04-01,22064876.42,28,20840282.184089076
2026-05-01,15302956.73,29,20819971.516319647
2026-06-01,17237164.03,30,20799660.84855022
2026-07-01,21697000.91,31,20779350.18078079
2026-08-01,22196644.72,32,20759039.513011362
